Feature,XGBoost_Importance,RandomForest_Importance,Permutation_Importance,Permutation_Std,XGBoost_Rank,RandomForest_Rank
safety_car,0.388009,0.042871,0.006145,0.00096,1,13
tyre_life,0.264525,0.091378,0.016671,0.001318,2,2
weather,0.113357,0.019472,0.002649,0.000385,3,15
tyre_compound,0.07137,0.01536,0.002417,0.000599,4,16
position,0.01915,0.045972,0.000286,0.000683,5,12
lap_number,0.017571,0.052615,0.000695,0.000374,6,10
tyre_deg,0.01379,0.112033,0.002101,0.000737,7,1
fuel_load,0.01358,0.0719,-0.000207,0.00043,8,9
sector2_t,0.013015,0.077418,0.00038,0.000327,9,5
gap_to_leader,0.012739,0.076651,0.000296,0.000369,10,8
sector1_t,0.012675,0.077808,0.000454,0.000444,11,4
lap_time_s,0.012379,0.078173,0.000118,0.000479,12,3
track_temp,0.012303,0.077121,-0.000266,0.000463,13,7
sector3_t,0.012057,0.077272,0.000528,0.000567,14,6
season,0.012047,0.032799,0.00073,0.000416,15,14
round,0.011433,0.051158,0.00033,0.000574,16,11
