Model,Threshold,Precision,Recall,F1_score
Logistic Regression,0.1,0.2463,0.8517,0.3821
Random Forest,0.1,0.2409,0.8686,0.3771
XGBoost,0.1,0.2651,0.855,0.4048
Logistic Regression,0.15,0.3146,0.7129,0.4366
Random Forest,0.15,0.2906,0.7786,0.4233
XGBoost,0.15,0.3288,0.7335,0.4541
Logistic Regression,0.2,0.3752,0.6052,0.4632
Random Forest,0.2,0.3343,0.6943,0.4513
XGBoost,0.2,0.3681,0.6461,0.469
Logistic Regression,0.25,0.4187,0.4924,0.4526
Random Forest,0.25,0.3687,0.6001,0.4568
XGBoost,0.25,0.4075,0.566,0.4739
Logistic Regression,0.3,0.4537,0.3934,0.4214
Random Forest,0.3,0.4044,0.5087,0.4506
XGBoost,0.3,0.4393,0.4676,0.453
Logistic Regression,0.35,0.4825,0.3156,0.3816
Random Forest,0.35,0.4398,0.4171,0.4281
XGBoost,0.35,0.4752,0.3782,0.4212
Logistic Regression,0.4,0.5166,0.2538,0.3404
Random Forest,0.4,0.4829,0.3387,0.3981
XGBoost,0.4,0.504,0.3034,0.3788
Logistic Regression,0.45,0.5471,0.1999,0.2929
Random Forest,0.45,0.5225,0.262,0.349
XGBoost,0.45,0.5306,0.2445,0.3347
Logistic Regression,0.5,0.5676,0.1481,0.2348
Random Forest,0.5,0.5559,0.1935,0.287
XGBoost,0.5,0.5697,0.1774,0.2705
Logistic Regression,0.55,0.5809,0.1063,0.1797
Random Forest,0.55,0.6114,0.1331,0.2186
XGBoost,0.55,0.5913,0.1151,0.1926
Logistic Regression,0.6,0.6449,0.0778,0.1389
Random Forest,0.6,0.6234,0.084,0.1481
XGBoost,0.6,0.6276,0.0756,0.1349
Logistic Regression,0.65,0.6732,0.0488,0.091
Random Forest,0.65,0.6584,0.0522,0.0967
XGBoost,0.65,0.662,0.053,0.0982
Logistic Regression,0.7,0.7062,0.0353,0.0672
Random Forest,0.7,0.6867,0.0321,0.0614
XGBoost,0.7,0.6851,0.035,0.0665
Logistic Regression,0.75,0.7632,0.0245,0.0475
Random Forest,0.75,0.7396,0.02,0.039
XGBoost,0.75,0.7113,0.0195,0.0379
Logistic Regression,0.8,0.7188,0.013,0.0255
Random Forest,0.8,0.6829,0.0079,0.0156
XGBoost,0.8,0.7391,0.0096,0.0189
Logistic Regression,0.85,0.8148,0.0062,0.0123
Random Forest,0.85,0.6,0.0017,0.0034
XGBoost,0.85,0.7368,0.0039,0.0079
Logistic Regression,0.9,1.0,0.0008,0.0017
Random Forest,0.9,0.5,0.0003,0.0006
XGBoost,0.9,0.7273,0.0023,0.0045
